Weixun, Energy, Time, Vulnerability, maxVul, deadline=800
The Energy Improvement(DCR+CP) to CP is 0.177672
CP,2302,772,9235960
DCR,2005,783,8110776
DCR+CP,1893,799,8019078,2627595

Vul-Aware, Energy, Time, Vulnerability, maxVul, deadline=800
Base,2302,772,9235960,2471995
CP,2302,772,9235960,2471995
DCR,2005,783,8110776,2334541
DCR+CP,1903,766,7944745,2396159

Weixun, Energy, Time, Vulnerability, maxVul, deadline=3500
The Energy Improvement(DCR+CP) to CP is 0.19952
CP,8325,3356,22570846
DCR,7418,3423,16395994
DCR+CP,6664,3460,19026570,8997733

Vul-Aware, Energy, Time, Vulnerability, maxVul, deadline=3500
Base,9268,3210,19896642,6802662
CP,9268,3210,19896642,6802662
DCR,7473,3487,16293866,5089554
DCR+CP,7473,3487,16293866,5089554

Weixun, Energy, Time, Vulnerability, maxVul, deadline=2000
The Energy Improvement(DCR+CP) to CP is 0.230355
CP,4645,1876,14187913
DCR,4015,1770,10222945
DCR+CP,3575,1998,11277379,5684930

Vul-Aware, Energy, Time, Vulnerability, maxVul, deadline=2000
Base,5061,1964,12131121,4008839
CP,5061,1964,12131121,4008839
DCR,4070,1831,9903891,3116123
DCR+CP,3939,1831,10740612,3931327

Weixun, Energy, Time, Vulnerability, maxVul, deadline=1800
The Energy Improvement(DCR+CP) to CP is 0.18951
CP,3451,1719,13608154
DCR,3132,1788,11405573
DCR+CP,2797,1768,11107399,5523987

Vul-Aware, Energy, Time, Vulnerability, maxVul, deadline=1800
Base,3815,1699,13766451,3672024
CP,3815,1699,13766451,3672024
DCR,3161,1788,11380808,3548348
DCR+CP,3161,1788,11380808,3548348

Weixun, Energy, Time, Vulnerability, maxVul, deadline=4000
The Energy Improvement(DCR+CP) to CP is 0.182282
CP,10193,3652,27214117
DCR,8739,3913,21188808
DCR+CP,8335,4000,23582874,10477763

Vul-Aware, Energy, Time, Vulnerability, maxVul, deadline=4000
Base,10851,3485,24778138,7311495
CP,10851,3485,24778138,7311495
DCR,8791,3913,21083242,6232274
DCR+CP,8791,3913,21083242,6232274

Weixun, Energy, Time, Vulnerability, maxVul, deadline=5000
The Energy Improvement(DCR+CP) to CP is 0.180027
CP,11015,4288,30942616
DCR,9208,4412,22601370
DCR+CP,9032,4846,25295337,12681098

Vul-Aware, Energy, Time, Vulnerability, maxVul, deadline=5000
Base,11350,4059,27158799,8494865
CP,11350,4059,27158799,8494865
DCR,9210,4412,22562979,8136367
DCR+CP,9143,4848,22268966,8136367

Weixun, Energy, Time, Vulnerability, maxVul, deadline=1800
The Energy Improvement(DCR+CP) to CP is 0.257025
CP,3630,1763,12898432
DCR,2966,1794,11250633
DCR+CP,2697,1794,11005036,4711979

Vul-Aware, Energy, Time, Vulnerability, maxVul, deadline=1800
Base,3621,1864,12906998,4100972
CP,2147483647,0,0,0
DCR,2969,1800,11219064,3458163
DCR+CP,2969,1800,11219064,3458163

Weixun, Energy, Time, Vulnerability, maxVul, deadline=6000
The Energy Improvement(DCR+CP) to CP is 0.197103
CP,11669,5861,33512235
DCR,10300,5623,25863012
DCR+CP,9369,5983,27757257,13653207

Vul-Aware, Energy, Time, Vulnerability, maxVul, deadline=6000
Base,12935,5523,30678766,8762596
CP,12935,5523,30678766,8762596
DCR,10300,5623,25861962,8089165
DCR+CP,10300,5623,25861962,8089165

Weixun, Energy, Time, Vulnerability, maxVul, deadline=5500
The Energy Improvement(DCR+CP) to CP is 0.191353
CP,11889,4791,31150506
DCR,10184,5158,24543059
DCR+CP,9614,5413,26956015,14061238

Vul-Aware, Energy, Time, Vulnerability, maxVul, deadline=5500
Base,12702,4582,29498368,8230448
CP,12702,4582,29498368,8230448
DCR,10184,5158,24542009,7979691
DCR+CP,10184,5158,24542009,7979691

